row,col,baseline,noise_width,timestamp,chip_name,chip_address,batch_name,batch_id,batch_started_at,save_notes
0,0,0,0,2026-04-10T17:30:41.466205+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,1,0,0,2026-04-10T17:30:42.143244+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,2,0,0,2026-04-10T17:30:42.818986+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,3,0,0,2026-04-10T17:30:43.505686+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,4,0,0,2026-04-10T17:30:44.217930+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,5,0,0,2026-04-10T17:30:44.916006+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,6,0,0,2026-04-10T17:30:45.622187+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,7,0,0,2026-04-10T17:30:46.318159+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,8,0,0,2026-04-10T17:30:46.998352+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,9,0,0,2026-04-10T17:30:47.677156+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,10,0,0,2026-04-10T17:30:48.351674+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,11,0,0,2026-04-10T17:30:49.041661+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,12,0,0,2026-04-10T17:30:49.747833+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,13,0,0,2026-04-10T17:30:50.447321+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,14,0,0,2026-04-10T17:30:51.143475+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
0,15,0,0,2026-04-10T17:30:51.823040+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,0,0,0,2026-04-10T17:30:52.499122+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,1,0,0,2026-04-10T17:30:53.182992+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,2,0,0,2026-04-10T17:30:53.860039+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,3,0,0,2026-04-10T17:30:54.568777+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,4,0,0,2026-04-10T17:30:55.264491+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,5,0,0,2026-04-10T17:30:55.965894+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,6,0,0,2026-04-10T17:30:56.656798+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,7,0,0,2026-04-10T17:30:57.333882+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,8,0,0,2026-04-10T17:30:58.009787+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,9,0,0,2026-04-10T17:30:58.685190+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,10,0,0,2026-04-10T17:30:59.394937+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,11,0,0,2026-04-10T17:31:00.091287+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,12,0,0,2026-04-10T17:31:00.791561+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,13,0,0,2026-04-10T17:31:01.497630+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,14,0,0,2026-04-10T17:31:02.184310+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
1,15,0,0,2026-04-10T17:31:02.861897+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,0,0,0,2026-04-10T17:31:03.542574+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,1,0,0,2026-04-10T17:31:04.244903+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,2,0,0,2026-04-10T17:31:04.952927+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,3,0,0,2026-04-10T17:31:05.639121+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,4,0,0,2026-04-10T17:31:06.316045+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,5,0,0,2026-04-10T17:31:06.990853+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,6,0,0,2026-04-10T17:31:07.672123+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,7,0,0,2026-04-10T17:31:08.375348+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,8,0,0,2026-04-10T17:31:09.077512+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,9,0,0,2026-04-10T17:31:09.768684+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,10,0,0,2026-04-10T17:31:10.462061+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,11,0,0,2026-04-10T17:31:11.154994+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,12,0,0,2026-04-10T17:31:11.872840+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,13,0,0,2026-04-10T17:31:12.572901+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,14,0,0,2026-04-10T17:31:13.259717+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
2,15,0,0,2026-04-10T17:31:13.935139+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,0,0,0,2026-04-10T17:31:14.611377+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,1,0,0,2026-04-10T17:31:15.285903+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,2,0,0,2026-04-10T17:31:15.987809+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,3,0,0,2026-04-10T17:31:16.696418+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,4,0,0,2026-04-10T17:31:17.383122+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,5,0,0,2026-04-10T17:31:18.060445+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,6,0,0,2026-04-10T17:31:18.737130+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,7,0,0,2026-04-10T17:31:19.419321+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,8,0,0,2026-04-10T17:31:20.125117+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,9,0,0,2026-04-10T17:31:20.824078+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,10,0,0,2026-04-10T17:31:21.501511+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
3,11,0,0,2026-04-10T17:31:22.189182+09:00,chip_name,96,ff,20260410_173037_ff,2026-04-10T17:30:37.629405+09:00,ff
